,name,points,constructorID,year
0,Red Bull,460,red_bull,2012
1,Ferrari,400,ferrari,2012
2,McLaren,378,mclaren,2012
4,Mercedes,142,mercedes,2012
7,Williams,76,williams,2012
0,Red Bull,596,red_bull,2013
1,Mercedes,360,mercedes,2013
2,Ferrari,354,ferrari,2013
4,McLaren,122,mclaren,2013
8,Williams,5,williams,2013
0,Mercedes,701,mercedes,2014
1,Red Bull,405,red_bull,2014
2,Williams,320,williams,2014
3,Ferrari,216,ferrari,2014
4,McLaren,181,mclaren,2014
0,Mercedes,703,mercedes,2015
1,Ferrari,428,ferrari,2015
2,Williams,257,williams,2015
3,Red Bull,187,red_bull,2015
8,McLaren,27,mclaren,2015
0,Mercedes,765,mercedes,2016
1,Red Bull,468,red_bull,2016
2,Ferrari,398,ferrari,2016
4,Williams,138,williams,2016
5,McLaren,76,mclaren,2016
0,Mercedes,668,mercedes,2017
1,Ferrari,522,ferrari,2017
2,Red Bull,368,red_bull,2017
4,Williams,83,williams,2017
8,McLaren,30,mclaren,2017
0,Mercedes,655,mercedes,2018
1,Ferrari,571,ferrari,2018
2,Red Bull,419,red_bull,2018
5,McLaren,62,mclaren,2018
9,Williams,7,williams,2018
0,Mercedes,739,mercedes,2019
1,Ferrari,504,ferrari,2019
2,Red Bull,417,red_bull,2019
3,McLaren,145,mclaren,2019
7,Alfa Romeo,57,alfa,2019
9,Williams,1,williams,2019
0,Mercedes,573,mercedes,2020
1,Red Bull,319,red_bull,2020
2,McLaren,202,mclaren,2020
5,Ferrari,131,ferrari,2020
6,AlphaTauri,107,alphatauri,2020
7,Alfa Romeo,8,alfa,2020
9,Williams,0,williams,2020
0,Mercedes,613.5,mercedes,2021
1,Red Bull,585.5,red_bull,2021
2,Ferrari,323.5,ferrari,2021
3,McLaren,275,mclaren,2021
4,Alpine F1 Team,155,alpine,2021
5,AlphaTauri,142,alphatauri,2021
6,Aston Martin,77,aston_martin,2021
7,Williams,23,williams,2021
8,Alfa Romeo,13,alfa,2021
